0.83,0.49,-0.02
0.89,0.38,0.19
0.83,0.20,0.00
0.41,0.24,0.19
0.38,0.18,-0.16
-0.16,0.24,0.06
-0.26,0.24,0.05
-0.52,0.19,0.34
-0.74,0.32,0.24
-0.36,0.49,0.25
-0.61,0.92,0.44
-0.60,0.77,-0.03
-0.42,0.83,-0.01
-0.37,0.85,0.07
0.02,0.81,-0.03
0.22,0.76,-0.04
0.46,0.73,0.09
0.67,0.58,-0.16
0.65,0.47,0.05
0.76,0.32,-0.02
0.84,0.24,-0.03
0.68,0.19,0.12
0.32,0.21,-0.10
-0.01,0.22,0.27
-0.09,0.34,0.01
-0.34,0.32,0.20
-0.77,0.31,0.40
-0.69,0.38,0.34
-0.85,0.62,0.05
-0.68,0.75,0.01

