0.15,0.31,0.10
0.08,0.27,0.24
0.07,0.26,0.27
-0.05,0.18,0.28
-0.06,0.15,0.14
-0.06,0.18,0.14
-0.10,0.14,-0.02
-0.04,0.26,0.02
-0.24,0.18,-0.07
-0.10,0.44,0.05
-0.13,0.74,0.22
-0.09,0.54,0.09
-0.09,0.43,0.01
0.01,0.39,0.00
-0.04,0.37,-0.03
0.05,0.43,-0.03
0.04,0.43,-0.08
0.06,0.45,0.04
-0.02,0.41,-0.01
0.05,0.49,0.11
0.15,0.34,0.01
0.21,0.40,0.01
0.14,0.27,0.13
0.21,0.27,0.12
0.11,0.24,0.12
0.03,0.15,0.21
-0.06,0.17,0.14
-0.06,0.16,0.16
-0.09,0.16,0.04
-0.12,0.20,0.08

