-0.14,0.82,0.17
0.37,0.81,-0.16
0.39,0.55,-0.06
0.77,0.59,0.19
0.65,0.46,0.01
0.60,0.34,0.08
0.41,0.18,0.12
0.29,0.15,-0.06
0.15,0.21,0.03
-0.05,0.37,0.12
-0.02,0.58,0.09
-0.49,0.56,0.51
-0.36,0.55,0.19
-0.51,0.49,0.18
-0.73,0.57,0.23
-0.72,0.68,0.06
-0.38,0.79,-0.06
-0.35,0.79,-0.13
-0.03,0.88,-0.18
0.07,0.79,-0.00
0.27,0.74,0.15
0.39,0.68,0.04
0.57,0.55,0.03
0.56,0.44,-0.02
0.43,0.36,0.10
0.36,0.30,0.16
0.31,0.37,0.14
0.11,0.31,0.05
0.05,0.47,0.09
-0.12,0.52,0.18
