0.04,0.41,0.05
0.03,0.41,0.05
0.05,0.41,0.04
0.17,0.38,0.03
0.09,0.36,0.08
-0.15,0.56,0.04
0.13,0.52,0.03
0.32,0.58,0.40
0.40,0.49,0.11
0.40,0.22,-0.06
0.24,-0.04,-0.44
-0.23,-0.15,-0.06
-0.37,-0.13,0.40
-0.72,0.12,0.30
-0.77,0.43,-0.07
-0.77,0.99,0.16
-0.64,1.27,0.23
-0.40,1.34,0.16
-0.13,1.04,0.16
0.14,0.90,-0.01
0.69,0.75,0.06
1.05,0.62,-0.14
1.18,0.36,-0.19
1.29,0.12,-0.08
1.41,0.27,-0.09
1.18,0.16,-0.33
0.32,0.48,-0.11
-0.57,0.83,0.19
-0.67,0.95,0.31
-1.09,0.81,0.81

