-0.17,0.36,0.35
-0.46,0.47,0.07
-0.46,0.47,0.19
-0.54,0.53,0.15
-0.58,0.48,0.24
-0.42,0.62,0.21
-0.40,0.62,0.03
-0.20,0.65,0.14
-0.12,0.72,0.01
0.03,0.73,-0.10
0.21,0.69,-0.09
0.40,0.65,-0.16
0.59,0.50,-0.11
0.42,0.45,0.11
0.57,0.40,0.12
0.34,0.32,-0.03
0.34,0.26,0.13
0.13,0.33,0.13
-0.01,0.30,0.30
-0.10,0.44,0.17
-0.27,0.42,0.08
-0.51,0.38,0.09
-0.78,0.44,0.26
-0.61,0.66,0.18
-0.54,0.70,0.07
-0.33,0.71,0.20
-0.18,0.66,-0.06
-0.02,0.69,-0.12
0.23,0.67,-0.23
0.34,0.59,-0.06

