-0.59,0.39,0.22
-0.42,0.58,0.09
-0.33,0.82,0.48
-0.35,0.71,0.02
-0.15,0.69,-0.13
-0.18,0.69,0.10
-0.09,0.70,-0.11
-0.02,0.69,-0.02
0.23,0.65,-0.16
0.38,0.61,-0.02
0.54,0.56,-0.26
0.65,0.35,0.21
0.59,0.38,-0.01
0.40,0.28,0.03
0.17,0.22,0.41
0.24,0.31,-0.01
-0.02,0.30,0.15
-0.09,0.31,-0.02
-0.31,0.34,0.15
-0.47,0.39,0.15
-0.52,0.51,0.15
-0.40,0.59,0.18
-0.29,0.65,0.11
-0.32,0.64,-0.02
-0.09,0.72,0.18
0.01,0.67,-0.05
-0.00,0.66,-0.03
0.26,0.64,-0.23
0.22,0.59,-0.14
0.37,0.52,-0.14

