0.72,0.56,0.07
0.64,0.51,0.06
0.34,0.41,0.10
0.41,0.27,-0.02
0.26,0.23,0.19
0.25,0.28,0.02
-0.12,0.41,0.09
-0.14,0.49,0.23
-0.47,0.65,0.02
-0.46,0.66,0.18
-0.72,0.68,0.07
-0.89,0.65,0.19
-0.62,0.76,0.22
-0.54,0.75,0.08
-0.08,0.86,-0.04
0.06,0.84,-0.16
0.33,0.72,-0.10
0.40,0.64,-0.13
0.63,0.54,0.09
0.53,0.36,-0.06
0.57,0.24,0.40
0.33,0.22,0.11
0.39,0.19,0.20
0.16,0.39,0.13
0.12,0.55,0.10
-0.19,0.55,0.06
-0.32,0.62,0.15
-0.65,0.55,0.22
-0.74,0.65,-0.18
-0.80,0.63,0.08

