0.29,0.89,0.01
0.56,0.93,-0.48
0.27,0.68,-0.58
0.73,0.65,-0.49
0.57,0.32,-0.57
0.39,0.07,0.22
-0.19,0.13,1.04
-0.51,0.51,1.04
-0.47,0.70,0.66
-0.31,0.81,-0.31
0.20,0.91,-0.26
0.31,0.80,-0.47
0.48,0.67,-0.52
0.73,0.50,-0.45
0.77,0.41,-0.37
0.89,0.29,-0.12
0.45,0.06,-0.16
0.26,0.21,0.16
0.00,0.73,0.31
-0.20,0.86,0.82
-0.08,0.94,1.04
0.32,1.22,0.41
0.35,1.13,0.13
0.12,0.89,-0.13
0.13,0.45,-0.30
0.43,-0.07,0.02
0.14,0.24,0.45
-0.82,0.65,0.63
-0.73,0.79,0.58
-0.20,1.22,0.02

