-0.34,0.60,0.15
-0.36,0.60,0.09
-0.36,0.57,0.11
-0.56,0.47,0.13
-0.78,0.48,0.15
-0.86,0.32,0.05
-0.44,0.84,-0.19
-0.21,0.99,0.04
-0.08,0.96,-0.16
0.11,0.77,0.00
0.30,0.71,-0.15
0.58,0.59,0.14
0.65,0.55,-0.14
0.40,0.46,0.28
0.53,0.34,0.14
0.38,0.19,0.09
0.46,0.39,-0.19
-0.11,0.41,0.22
-0.07,0.65,0.14
-0.46,0.51,0.31
-0.59,0.51,0.01
-0.48,0.49,0.12
-0.74,0.57,-0.01
-0.93,0.60,0.02
-0.83,0.84,-0.05
-0.28,1.05,0.18
-0.39,1.02,-0.12
0.09,1.02,-0.03
0.24,0.80,0.01
0.66,0.74,0.11

