0.14,0.53,-0.15
0.09,0.47,-0.00
0.02,0.45,-0.02
0.09,0.43,-0.02
0.11,0.41,0.01
0.36,0.33,-0.03
0.36,0.38,-0.00
0.24,0.22,0.14
0.33,0.24,0.11
-0.02,-0.04,0.13
0.32,0.34,0.26
0.07,0.08,0.21
0.02,0.02,0.19
-0.14,-0.05,0.15
-0.08,0.07,0.07
-0.08,0.09,-0.08
-0.25,0.17,-0.09
-0.17,0.39,-0.06
-0.34,0.36,0.05
-0.19,0.49,0.04
-0.04,0.49,-0.01
0.07,0.63,0.07
0.08,0.57,-0.03
0.07,0.49,-0.01
0.17,0.39,0.01
0.26,0.34,0.15
0.30,0.35,0.07
0.30,0.34,0.06
0.27,0.33,-0.00
0.11,0.21,0.00
